81,감시자들,2013-07-03,"39,389,732,679","5,509,019",949,"100,349",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
82,앤트맨과 와스프,2018-07-04,"47,468,053,685","5,448,134","1,775","148,244",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
83,닥터 스트레인지,2016-10-26,"47,490,572,396","5,447,269","1,503","162,879",미국,미국,월트디즈니컴퍼니코리아(주)
84,검은 사제들,2015-11-05,"42,412,952,592","5,443,232","1,109","131,179",한국,한국,(주)씨제이이엔엠
85,안시성,2018-09-19,"46,342,006,026","5,441,020","1,540","110,444",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
86,의형제,2010-02-04,"40,154,381,000","5,416,923",569,"118,251",한국,한국,(주)쇼박스
87,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
88,더 킹,2017-01-18,"43,492,782,535","5,318,007","1,310","107,986",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
89,완득이,2011-10-20,"38,533,831,000","5,311,353",629,"117,850",한국,한국,(주)씨제이이엔엠
90,완벽한 타인,2018-10-31,"44,356,976,474","5,294,154","1,325","143,075",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
91,조커,2019-10-02,"45,443,092,130","5,255,308","1,418","148,270",미국,미국,워너브러더스 코리아(주)
92,월드 워 Z,2013-06-20,"38,589,794,000","5,244,336",964,"102,831",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
93,타워,2012-12-25,"37,656,008,000","5,181,244",638,"81,151",한국,한국,(주)씨제이이엔엠
94,미녀와 야수,2017-03-16,"42,253,148,459","5,156,372","1,627","142,729",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
95,투사부일체,2006-01-19,"31,959,686,000","5,074,314",407,"54,339",한국,한국,CJ ENM
96,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,(주)씨제이이엔엠
97,독전,2018-05-22,"43,491,762,113","5,064,323","1,532","140,052",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
98,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스
99,아쿠아맨,2018-12-19,"44,145,008,504","5,041,187","1,285","105,440",미국,"미국,호주",워너브러더스 코리아(주)
100,공작,2018-08-08,"42,795,690,816","4,975,517","1,317","99,122",한국,한국,(주)씨제이이엔엠
101,인사이드 아웃,2015-07-09,"38,024,694,936","4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주)
102,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
103,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
104,마션,2015-10-08,"39,702,034,175","4,887,144","1,132","115,967",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
105,토르: 라그나로크,2017-10-25,"39,261,266,595","4,858,572","1,640","137,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
106,"님아, 그 강을 건너지 마오",2014-11-27,"37,360,010,579","4,802,602",806,"93,555",한국,한국,"CGV아트하우스,(주)대명문화공장"
107,봉오동 전투,2019-08-07,"40,588,894,538","4,787,579","1,476","107,032",한국,한국,(주)쇼박스
108,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500","4,786,259",634,"84,189",한국,한국,(주)쇼박스
109,군도: 민란의 시대,2014-07-23,"36,990,394,499","4,775,811","1,394","67,259",한국,한국,(주)쇼박스
110,남산의 부장들,2020-01-22,"41,225,216,650","4,750,345","1,659","140,051",한국,한국,(주)쇼박스
111,라이온 킹,2019-07-17,"41,519,732,430","4,743,295","1,936","126,503",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
112,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,977,500","4,720,172",713,"91,915",한국,한국,(주)쇼박스
113,엣지 오브 투모로우,2014-06-04,"38,786,998,201","4,706,213",801,"95,776",미국,미국,워너브러더스 코리아(주)
114,주토피아,2016-02-17,"37,096,057,742","4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주)
